,Priority 1-6 (low - high),Status (messklar/on hold),Messort,Art,Hersteller,WEA-Typ,Projektnumber  (link to PowerBI PM Dashboard),Projectname,DNV PM,Auftragsdatum,Kunde,"Ansprechpartner Kunde (E-Mail, phone)",WEA X von Y,Ser.-Nr.,WP-Nr.:,Hubheight,Rotordiameter,HB,LK,BImschG,Modi Liste,Beschwerdelage ja/nein Bemerkungen,min. Wind speed needed,max. Wind speed needed,bevorz.  WR (falls bekannt),Landowner of  Turbine or Measurment area,Owner of neighbour turbines which have to be shut down,Gridoperator EisMan,sonst. Bemerkungen,Messung 1 Datum/ MA,Messung 2 Datum/ MA,Messung 3 Datum/ MA.1,Stand x = close,Link project folder Acoustics,Breitengrad,Längengrad,L2C/ Salesforce (Link)
250,0,Nein,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IACRUZ,2023-02-27,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 3 von 4,,VS216-BM3-3100kW,92.5,115.0,Ja,Unbekannt ,Ja,Mode 3,,,,,,,,Genehmigter Mode wird nicht mehr von Vensys nicht verkauft,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.406217,8.943908,241470.0
251,0,Nein,Uelvesbüll,SEN,Senvion,"V115-4,1 MW",10431215,SEN Vens Uelvesbüll (241470),IACRUZ,2023-02-27,Windpark Uelvesbüll GmbH,Kai Offermanns,WEA 4 von 4,,VS217-BM5-2500kW,92.5,115.0,Ja,Unbekannt ,Ja,Mode 5,,,,,,,,Genehmigter Mode wird nicht mehr von Vensys nicht verkauft,,,,Approved,file:///a:\___Projekte\10431215_2023 V115 SEN WP Uelvesbüll Cimbergy (Kai Offermanns)\,54.409228,8.950183,241470.0
252,3,Ja,Asch,SEN,Enercon,E82,10431580,SEN WP Asch E82 (245521),IACRUZ,2023-03-01,ENERCON GmbH,Mirko Martens,WEA 1 von 2,E826801,,108.4,82.0,Unbekannt,Unbekannt,Unbekannt,BM 0,Ja,6.3,10.3,WWN,,,,AP Parallel,,,,Approved,file:///a:\___Projekte\10431580_2023 E82 SEN WP Asch WRD (Mirko Martens)\,49.859851,12.459944,245521.0
253,3,Ja,Asch,SEN,Enercon,E82,10431580,SEN WP Asch E82 (245521),IACRUZ,2023-03-01,ENERCON GmbH,Mirko Martens,WEA 2 von 2,E826802,,108.4,82.0,Unbekannt,Unbekannt,Unbekannt,BM 0,Ja,6.3,10.3,WSW,,,,AP Parallel,,,,Approved,file:///a:\___Projekte\10431580_2023 E82 SEN WP Asch WRD (Mirko Martens)\,49.857786,12.461482,245521.0
254,0,on hold,Schlaa,SEN,Enercon,E160 EP5 E3,10432594,SEN WP Schlaa E-160 (244222),FELPLA,2023-03-08,Windpark Schlaa GmbH & Co. KG,Thurid Kuhk,WEA 1 von 1,E1603200,WEA1,120.0,160.0,Nein,Nein,Ja,NR VIIs,Nein,5.8,9.4,W,Unbekannt,Aufgabe von NTTB,EP76813 / Anlagennummer S59423; Wir haben Vollmacht,WEA soll im August in Betrieb gehen; EisMan Betriebe müssen für das Amt eigentlich auch vermessen werden; aber WEA steht neben Autobahn,,,,Approved,file:///a:\___Projekte\10432594_2023 E160 SEN WP Schlaa nttb (Thurid Kuhk)\,54.121783,9.260774,244222.0
255,,,Büttler Balje,SEN,Enercon,E82 E2,10433177,SEN SON E82 WP Bütt (246224),ULFKOC,2023-03-13,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 1 von 2,826118,,98.0,82.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,2023-04-01,,,Approved,file:///a:\___Projekte\10433177_2023 E82 SEN SON WP Bütteljer Balje WTS (Klaus Röhm)\,54.151674,8.957511,246224.0
256,,,Büttler Balje,SEN,Enercon,E82 E2,10433177,SEN SON E82 WP Bütt (246224),ULFKOC,2023-03-13,WTS Wind-Tuning-Systems GmbH,Klaus Röhm,WEA 2 von 2,826119,,98.0,82.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,2023-04-25,,,Approved,file:///a:\___Projekte\10433177_2023 E82 SEN SON WP Bütteljer Balje WTS (Klaus Röhm)\,54.151674,8.957511,246224.0
257,0,Ja,Regesborstel,SEN,Vestas,V150-5.6 MW,10434812,SEN Regesborstel (246796),IACRUZ,2023-03-13,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 1 von 2,243429,2,148.0,150.0,Unbekannt,Unbekannt,Unbekannt,PO6000,,5.3,9.0,NW,,,,AP Parallel zur E-Messung,,,,Approved,file:///a:\___Projekte\10434812_2023 V150 SEN Regesbostel Notus energy Plan GmbH (Paula Kock)\,53.389619,9.626952,246796.0
258,0,Ja,Regesborstel,SEN,Vestas,V150-5.6 MW,10434812,SEN Regesborstel (246796),IACRUZ,2023-03-13,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 2 von 2,243431,4,148.0,150.0,Unbekannt,Unbekannt,Unbekannt,SO2,,5.3,8.8,NW,,,,AP Parallel zur E-Messung,,,,Approved,file:///a:\___Projekte\10434812_2023 V150 SEN Regesbostel Notus energy Plan GmbH (Paula Kock)\,53.391086,9.635229,246796.0
259,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 1 von 7,V246036,WEA1,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.179294,9.019796,247070.0
260,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 2 von 7,V246037,WEA2,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.176159,9.014907,247070.0
261,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 3 von 7,V246038,WEA3,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.176302,9.022735,247070.0
262,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 4 von 7,V246039,WEA4,119.0,162.0,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,2023-04-27,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.173194,9.017588,247070.0
263,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 5 von 7,V246040,WEA5,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.17304,9.02431,247070.0
264,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 6 von 7,V246041,WEA6,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.169321,9.022654,247070.0
265,,,Wöhrden,SET,Vestas,V162-6.2MW,10435259,SET Wöhrden I + II (247070),ANNJO,2023-03-28,Vestas Wind Systems A/S,NCN,WEA 7 von 7,V246042,WEA7,119.0,162.0,Unbekannt,Unbekannt,Unbekannt,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10435259_2023 V162 SET Woehrden I II Vestas DK (NCN)\,54.165718,9.02057,247070.0
266,,,Himmelreich,SEN,Enercon,E-115 EP E3,10437296,SEN WP Himmelreich WES Ibs (Erik Rühmann)\,ANNJO,2023-04-13,Windpark Himmelreich GmbH & Co. KG,Erik Rühmann,WEA 1 von 1,1160008,WEA 3 Süd,92.0,115.7,Unbekannt ,Unbekannt ,Unbekannt ,,,,,,,,,,,,,Approved,file:///a:\___Projekte\10437296_2023 E115 SEN WP Himmelreich WES Ibs (Erik Rühmann)\,54.005972,9.091288,247183.0
268,,Nicht genug Infos,Hemme,SEN,ENERCON,E-70,10161597,SEN WP Hemme (182757),ANNJO,2019-06-25,ENERCON GmbH,Paul Radons,WEA 1 von 2,784125,,,,Nein,Nein,Nein,,,5.0,15.0,W,,,,,,,,Approved,file:///A:\___Projekte\10161597_2019 E_70 SEN Hemme ENERCON (Paul Radons) ,54.269514,8.953031,182757.0
269,,,Dieksanderkoog,SEN,Enercon,E-70 E4,10205384,SEN E70 E4 Dieksanderkoog 783990 (197369),ANNJO,2020-03-16,ENERCON GmbH,Paul Radons,WEA 1 von 1,783990,WEA 6,85.0,71.0,Unbekannt,Unbekannt,Unbekannt,,,7.0,17.0,W,,,,,,,,Approved,file:///A:\___Projekte\10205384_2020 E_70 E4 SEN Dieksanderkoog Enercon GmbH (Paul Radons) ,53.957307,8.927839,197369.0
270,,Nicht genug Infos,Wittenhof,SIM,Vestas,V126,10206151,SIM Wittenhof ENER (194152),ULFKOC,2020-03-23,ENERTRAG SE,Jonas Armbröster,WEA 1 von 1,,,,,Unbekannt,Unbekannt,Ja,,,6.0,16.0,W,,,,"I_Messungen notwendig wegen hoher Vorbelastung, Telefonat mit T22 geführt",,,,Approved,file:///A:\___Projekte\10206151_2020 V126 SIM Wittenhof ENERTRAG Jonas Armröster (Jonas Armbröster) ,53.340331,13.898623,194152.0
271,,,_Marsberg_Ersatzstandort für Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380274,,,,Ja,Ja,Unbekannt,,,6.0,16.0,W,,,,,,,,Approved,,51.519506,8.824914,200062.0
272,,,_Suederhackstedt_Ersatzstandort fuer Janneby,SET,Enercon,E-138 EP3 E2,10212487,SET E137 EP3 E2 Janneby (200062),RICFRE,2020-05-07,ENERCON GmbH,Fabian Martens,,1380456,WEA 1,111.0,138.0,,,,,,6.0,16.0,W,,,,,2022-01-20,2022-05-13,2022-06-23,Approved,,54.58004,9.27255,200062.0
273,"1,5",Ja,WP Wulkow,SEN,Vestas,V150,10341314,SEN WP Wulkow (228601),IACRUZ,2022-03-02,UGE Treplin GmbH & Co. KG Umweltgerechte Energie,Paul Radons,WEA 1 von 1,242290,WEA1,169.0,150.0,Unbekannt,Unbekannt,Ja,"PO6000, SO2.1",Nein,5.3,8.8,W,,Steven Koch (Heliotec),,,2022-05-21,,,Approved,file:///A:\___Projekte\10341314_2022 V150 SEN WP Wulkow UKA (Paul Radons) ,52.396675,14.427526,228601.0
274,0,Ja,Seelow-Gusow,SEN,Vestas,V150 5.6,10365480,SEN V150 Seelow-Gusow (230518),IACRUZ,2022-05-31,UGE Gusow GmbH & Co. KG Umweltgerechte Energie,Paul Radons,WEA 1 von 1,V242085,WEA Gusow 1,169.0,150.0,Unbekannt,Unbekannt,Ja,"PO5600, SO2.1",Nein,5.2,8.7,NNW,,"Energy Consult, Edinatur, Private Eigentum",,,,,,Approved,file:///A:\___Projekte\10365480_2022 V150 56 SEN Seelow_Gusow UGE (Paul Radons) ,52.549561,14.339161,230518.0
275,0,Ja,Dammfleth,SEN,Vestas,V136,10385875,SEN 2V136 Dammfleth (228853),IACRUZ,2022-11-02,Windpark Rothenmeer GmbH & Co. KG,Lars Andersen,WEA 1 von 2,V244067,WEA 79/1,82.0,136.0,Nein,Ja,Ja,SO1,Nein,5.7,9.3,W,,"WES Ibs, Windpark Hochfeld",,Kunde keine große Hilfe in der Planung,,,,Approved,file:///A:\___Projekte\10385875_2022 V136 SEN WP Dammfleth Eurowind (Federico Alcalde Burella) ,53.887615,9.359029,228853.0
276,0,Ja,Dammfleth,SEN,Vestas,V136,10385875,SEN 2V136 Dammfleth (228853),IACRUZ,2022-11-02,Windpark Rothenmeer GmbH & Co. KG,Lars Andersen,WEA 2 von 2,V244068,WEA 69/1,82.0,136.0,Nein,Ja,Ja,SO1,Nein,5.7,9.3,W,,"WES Ibs, Windpark Hochfeld",,Kunde keine große Hilfe in der Planung,,,,Approved,file:///A:\___Projekte\10385875_2022 V136 SEN WP Dammfleth Eurowind (Federico Alcalde Burella) ,53.88512,9.36036,228853.0
277,1,Nein,WP Silberpatweg Aachen,SEN,GE,GE 2.75-120,10392989,SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,IACRUZ,2023-01-11,GE Wind Energy ,Björn Schierenbeck,WEA 1 von 2,GE27171217,WEA16,139.0,120.0,Ja ,Unbekannt ,Unbekannt ,NRO100,Nein,5.0,8.5,W,,,,"Autobahn in unmittelbare Nähe, Messung unbediengt in der Nacht und Wochenende",2023-01-08,,,Approved,a:\___Projekte\10392989_2022 GE 275_120 SEN WP Silberpatweg Aachen GE Wind Energy (Björn Schierenbeck)\,50.822714,6.028481,242541.0
278,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 1 von 4,S58217,WEA 01 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,N2,Nein,5.8,9.4,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.055234,9.325254,243369.0
279,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 2 von 4,S58231,WEA 02 ,84.0,132.0,Unbekannt ,Unbekannt ,Ja,N3,Nein,5.8,9.7,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05504,9.330431,243369.0
280,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 3 von 4,S58238,WEA 03,84.0,132.0,Unbekannt,Unbekannt,Ja,N3,Nein,6.0,9.9,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.056457,9.335056,243369.0
281,2,Nein,WP Holstenniendorf,SEN,Siemens Gamesa,SG 5.0-132,10424582,SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger)\,IACRUZ,2023-01-13,iTerra Wind GmbH ,Jens Sieger,WEA 4 von 4,S58239,WEA 04,84.0,132.0,Unbekannt,Unbekannt,Ja,N2,Nein,5.8,9.4,,,,,,,,,Approved,file:///A:\___Projekte\10424582_2023 SG 50_132 SEN WP Holstenniendorf iTerra Wind GmbH (Jens Sieger) ,54.05637,9.340127,243369.0
282,0,Ja,Regesborstel,SEN,Vestas,V150-5.6 MW,10434812,SEN Regesborstel (246796),IACRUZ,2023-03-13,Notus energy Plan GmbH & Co. KG,Paula Kock,WEA 2 von 2,243431,4,148.0,150.0,Unbekannt,Unbekannt,Unbekannt,SO2,,5.3,8.8,NW,,,,AP Parallel zur E-Messung,,,,Approved,file:///a:\___Projekte\10434812_2023 V150 SEN Regesbostel Notus energy Plan GmbH (Paula Kock)\,53.391086,9.635229,246796.0
283,0,Nein,Hellschen-Heringsand-Unterschaar,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,IACRUZ,2023-04-04,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 1 von 4,,1,82.0,136.0,Unbekannt ,Unbekannt ,Ja ,SO1,,5.6,9.3,,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.203632,8.854942,244292.0
284,0,Nein,Hellschen-Heringsand-Unterschaar,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,IACRUZ,2023-04-04,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 2 von 4,,2,112.0,136.0,Unbekannt,Unbekannt,Ja ,SO1,,5.3,9.0,,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.199191,8.86112,244292.0
285,0,Nein,Hellschen-Heringsand-Unterschaar,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,IACRUZ,2023-04-04,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 3 von 4,,3,112.0,136.0,Unbekannt,Unbekannt,Ja ,SO1,,5.3,9.0,,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.196454,8.856853,244292.0
286,0,Nein,Hellschen-Heringsand-Unterschaar,SEN,Vestas,V136-4.2MW,10436796,SEN WP HHU nttb (Thurid Kuhk)\,IACRUZ,2023-04-04,Repowering Windpark HHU Pool GmbH,Thurid Kuhk,WEA 4 von 4,,4,112.0,136.0,Unbekannt ,Unbekannt ,Ja ,SO1,,5.3,9.0,,,,,,,,,Approved,file:///a:\___Projekte\10436796_2023 V136 SEN WP HHU nttb (Thurid Kuhk)\,54.200472,8.850048,244292.0
287,5,on hold,Remmels,SEM,GE,GE 5.3-158,10440879,SEN WP Remmels GE Wind Energy GmbH (Sabrina Apke),FELPLA,2023-05-05,GE Wind Energy GmbH,Bo Schierenbeck,WEA 1 von 2,GE552016378,WEA 2,120.9,158.0,Nein,Ja,Nein,NO,Nein,5.4,8.9,NW,Unbekannt,GE,GE,Bins > 10.5 fehlen; WEA ab 2023-07-17 messklar,2023-06-01,,,Approved,,54.124391,9.633294,247648.0
288,5,on hold,Remmels,SEM,GE,GE 5.3-158,10440879,SEN WP Remmels GE Wind Energy GmbH (Sabrina Apke),FELPLA,2023-05-05,GE Wind Energy GmbH,Bo Schierenbeck,WEA 2 von 2,GE552016377,WEA 1,120.9,158.0,Nein,Ja,Nein,NO,Nein,5.4,8.9,W,Unbekannt,GE,GE,WEA ab 2023-07-17 messklar,2023-06-27,,,Approved,,54.130769,9.642436,247648.0
289,5,on hold,Jahrsdorf,SEM,GE,GE 5.3-158,10440882,SEN WP Jahrsdorf GE Wind Energy GmbH (Sabrina Apke),FELPLA,2023-05-05,GE Wind Energy GmbH,Bo Schierenbeck,WEA 1 von 1,"GE552016376
",WEA 1,120.9,158.0,Nein,Ja,Nein,NO,Nein,5.4,8.9,NW,Unbekannt,Keine,GE,WEA ab 2023-07-17 messklar,2023-06-01,,,Approved,,54.074517,9.621255,247649.0
290,0,on hold,Bankewitz,SEN,GE,GE 5.3-158,10443386,SEN WP Bankewitz wpd (Margot Petersen_Jaenicke),FELPLA,2023-05-24,WPD,Margot Petersen m.petersen@wpd.de,WEA 1 von 3,GE552201376,WEA 1,161.0,158.0,Nein,Ja,Ja,NO,Nein,5.3,8.5,W,Unbekannt,WPD,WPD,Bitte Messkonzept beachten; Messklarheit unbekannt,,,,Approved,,53.021938,10.814702,248235.0
291,0,on hold,Bankewitz,SEN,GE,GE 5.3-158,10443386,SEN WP Bankewitz wpd (Margot Petersen_Jaenicke),FELPLA,2023-05-24,WPD,Margot Petersen m.petersen@wpd.de,WEA 2 von 3,GE552201370,WEA 3,161.0,158.0,Nein,Ja,Ja,NO,Nein,5.3,8.5,W,Unbekannt,WPD,WPD,Bitte Messkonzept beachten; Messklarheit unbekannt,,,,Approved,,53.023789,10.819477,248235.0
292,0,on hold,Bankewitz,SEN,GE,GE 5.3-158,10443386,SEN WP Bankewitz wpd (Margot Petersen_Jaenicke),FELPLA,2023-05-24,WPD,Margot Petersen m.petersen@wpd.de,WEA 3 von 3,GE552201374,WEA 7,161.0,158.0,Nein,Ja,Ja,NO,Nein,5.3,8.5,W,Unbekannt,WPD,WPD,Bitte Messkonzept beachten; Messklarheit unbekannt,,,,Approved,,53.015971,10.833266,248235.0
293,0,messklar,Lebus,SEN,Vestas,V162-6.0,10444116,SEN WP Lebus UKA (Christian Grundmann),FELPLA,2023-05-25,UKA,Christian Grundmann immission@uka-group.com,WEA 1 von 1,V245169,WEA 2,169.0,162.0,Nein,Ja,Ja,"SO2, SO4",Nein,4.8,7.9,,Unbekannt,Aufgabe von UKA,Aufgabe von UKA,"WEA messklar, aber Mais um WEA",,,,Approved,,52.442311,14.492995,248135.0
294,0,on hold,Gaishecke,SEN SIM,Vestas,V126,10446590,SEN SIM WP Gaishecke Fichtner GmbH (Franziska Fuhs),FELPLA,2023-06-13,Fichtner GmbH,Franziska.Fuhs@fichtner.de,WEA 1 von 2,V246460,WEA 6,149.0,126.0,Nein,Ja,Ja,Mode 0,Nein,5.0,8.2,W,Unbekannt,Fichtner,Aufgabe von Fichtner,"WEA sollen ab Mitte September in Betrieb gehen; Zeitgleich Immissionsmessung; Messkonzept noch nicht genehmigt
",,,,Approved,,50.918874,9.933975,243272.0
295,0,on hold,Gaishecke,SEN SIM,Vestas,V126,10446590,SEN SIM WP Gaishecke Fichtner GmbH (Franziska Fuhs),FELPLA,2023-06-13,Fichtner GmbH,Franziska.Fuhs@fichtner.de,WEA 2 von 2,V246465,WEA 12,149.0,126.0,Nein,Ja,Ja,Mode 0,Nein,5.0,8.2,W,Unbekannt,Fichtner,Aufgabe von Fichtner,"WEA sollen ab Mitte September in Betrieb gehen; Zeitgleich Immissionsmessung; Messkonzept noch nicht genehmigt
",,,,Approved,,50.90758,9.936996,243272.0
